City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Tubuala,PA,9.5167,-79.0333,77.0,97,100,1.01,overcast clouds
250,Okulovka,RU,58.4008,33.2908,39.7,81,100,14.76,heavy intensity rain
251,Kampene,CD,-3.6,26.6667,67.14,99,98,1.28,overcast clouds
252,Hurricane,US,37.1753,-113.2899,68.0,32,75,12.66,broken clouds
253,Batagay-Alyta,RU,67.8006,130.4114,32.88,99,96,2.19,overcast clouds
254,Saint-Pierre,RE,-21.3393,55.4781,75.2,69,0,6.91,clear sky
255,Bang Saphan,TH,11.2126,99.5117,89.6,74,20,9.22,few clouds
256,Awbari,LY,26.5921,12.7805,78.62,8,0,10.98,clear sky
257,Fort Nelson,CA,58.8053,-122.7002,51.8,46,75,3.44,broken clouds
258,Biak,ID,-0.9131,122.8766,83.1,68,32,6.8,scattered clouds
259,Burnie,AU,-41.0667,145.9167,61.95,68,93,8.08,overcast clouds
260,Bud,US,39.447,-86.1758,61.0,81,100,11.83,overcast clouds
261,Namatanai,PG,-3.6667,152.4333,85.6,68,95,5.61,light rain
262,Luwuk,ID,-0.9516,122.7875,85.48,69,27,6.55,scattered clouds
263,Huangchuan,CN,32.1272,115.0394,72.7,57,100,3.6,moderate rain
264,Ivanivka,UA,46.7208,34.553,56.37,76,97,3.33,overcast clouds
265,Ballina,AU,-28.8667,153.5667,73.4,78,40,12.66,scattered clouds
266,Champerico,GT,14.3,-91.9167,68.0,94,92,3.02,overcast clouds
267,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.31,84,100,6.78,overcast clouds
268,Lakatoro,VU,-16.0999,167.4164,81.25,76,45,8.81,scattered clouds
269,Torbay,CA,47.6666,-52.7314,42.01,70,90,18.41,overcast clouds
270,Lolodorf,CM,3.2333,10.7333,69.12,98,100,1.21,light rain
271,Cidreira,BR,-30.1811,-50.2056,68.04,91,39,8.01,scattered clouds
272,Aparecida Do Taboado,BR,-20.0867,-51.0936,66.29,48,0,6.17,clear sky
273,Husavik,IS,66.0449,-17.3389,32.0,86,90,3.44,overcast clouds
274,Kaohsiung,TW,22.6163,120.3133,82.4,65,75,4.61,broken clouds
275,Wilmington,US,34.2257,-77.9447,70.0,73,1,8.05,clear sky
276,Mudgee,AU,-32.5943,149.5871,73.0,46,40,9.22,scattered clouds
277,Kushima,JP,31.4583,131.2333,68.0,34,75,6.91,broken clouds
278,Mogadishu,SO,2.0371,45.3438,83.61,75,100,9.31,overcast clouds
279,Inuvik,CA,68.3499,-133.7218,33.8,64,99,10.36,overcast clouds
280,Qinhuangdao,CN,39.9317,119.5883,65.79,41,36,22.7,scattered clouds
281,Weligama,LK,5.9667,80.4167,84.67,70,90,3.38,overcast clouds
282,Toamasina,MG,-18.1667,49.3833,75.2,94,40,1.14,scattered clouds
283,Miami,US,25.7743,-80.1937,80.6,74,20,8.05,few clouds
284,Laharpur,IN,27.7167,80.9,94.62,23,97,5.37,overcast clouds
285,Asyut,EG,27.181,31.1837,71.6,26,0,10.36,clear sky
286,Ixtapa,MX,20.7,-105.2,77.0,73,1,8.05,clear sky
287,Taltal,CL,-25.4,-70.4833,62.44,79,36,2.44,scattered clouds
288,Faya,SA,18.3851,42.4509,59.0,88,20,2.39,few clouds
289,Dinan,FR,48.4167,-2.25,39.2,100,34,4.61,scattered clouds
290,Troitskoye,RU,52.9821,84.6757,51.82,41,39,6.85,scattered clouds
291,Pimentel,PE,-6.8367,-79.9342,66.0,84,34,3.0,scattered clouds
292,Drummondville,CA,45.8834,-72.4824,48.2,34,71,5.75,broken clouds
293,Mahon,ES,39.8885,4.2658,53.6,87,0,6.91,clear sky
294,Klaksvik,FO,62.2266,-6.589,33.8,86,75,5.75,light rain
295,Alofi,NU,-19.0595,-169.9187,75.2,88,85,13.8,overcast clouds
296,Sakyla,FI,61.0333,22.3333,35.6,69,0,5.75,clear sky
297,Yumen,CN,40.2833,97.2,52.34,11,0,8.81,clear sky
298,Ornskoldsvik,SE,63.2909,18.7153,32.0,74,90,3.44,overcast clouds
299,Lasa,IT,46.6166,10.7002,37.0,80,0,3.44,clear sky
300,Abha,SA,18.2164,42.5053,59.0,88,20,0.76,few clouds
301,Vangaindrano,MG,-23.35,47.6,68.16,94,99,4.03,light rain
302,Tarnos,FR,43.5417,-1.4628,44.6,87,0,2.3,clear sky
303,Mecca,SA,21.4267,39.8261,79.39,66,0,4.74,clear sky
304,Hambantota,LK,6.1241,81.1185,86.0,84,20,3.44,few clouds
305,Mount Isa,AU,-20.7333,139.5,87.8,23,0,11.5,clear sky
306,Bata,GQ,1.8639,9.7658,77.0,100,40,3.44,moderate rain
307,Huarmey,PE,-10.0681,-78.1522,67.15,87,26,6.26,scattered clouds
308,Vanavara,RU,60.34,102.2797,37.44,82,100,7.9,overcast clouds
309,Port Blair,IN,11.6667,92.75,84.2,84,40,4.61,scattered clouds
310,Visnes,NO,59.3556,5.2242,41.0,70,40,10.36,scattered clouds
311,Martapura,ID,-3.4167,114.85,91.4,58,40,4.61,scattered clouds
312,Srednekolymsk,RU,67.45,153.6833,33.53,92,7,5.28,clear sky
313,Padang,ID,-0.9492,100.3543,87.8,74,20,4.61,few clouds
